iri,label,cameo,description,identifier,modified,scope,depiction,tsnid,common-name
http://bioimages.vanderbilt.edu/ind-barberr/rb427,A plant photographed by Ronald Barber,http://bioimages.vanderbilt.edu/barberr/rb427,An organism having GUID: http://bioimages.vanderbilt.edu/ind-barberr/rb427,http://bioimages.vanderbilt.edu/ind-barberr/rb427,2016-03-03T08:32:17.817000-06:00,multicellular organism,http://bioimages.vanderbilt.edu/barberr/rb427,565525,black nightshade
http://bioimages.vanderbilt.edu/ind-durandp/dd343,Big ol snake,http://bioimages.vanderbilt.edu/durandp/dd343,An organism having GUID: http://bioimages.vanderbilt.edu/ind-durandp/dd343,http://bioimages.vanderbilt.edu/ind-durandp/dd343,2016-03-03T08:32:17.817-06:00,multicellular organism,http://bioimages.vanderbilt.edu/durandp/dd345,174319,Western Rattlesnake
