"foaf_depicts","dcterms_identifier","dcterms_created","dcterms_modified","label","dcterms_description","ac_tag","geo_lat","geo_long","ac_accessURI","exif_PixelXDimension","exif_PixelYDimension","geo_alt"
"000136",4832088512,"2010-06-26T01:22:31","2017-04-04T08:11:00-05:00","dsc0746jpg","Bucun_ Yuhuangmiao  Front Hall","geotagged shanxi zhangzi geo:tool=houdahgeo bucun yuhuangmiao geo:lat=3600780 geo:lon=11293347",36.0078,112.93347,"farm5.staticflickr.com/4103/4832088512_7dbed0c270_",2048,1371,
"000136",4831517855,"2010-06-26T01:32:13","2017-04-04T08:11:00-05:00","dsc0798jpg","Bucun_ Yuhuangmiao   Front Hall","geotagged shanxi zhangzi geo:tool=houdahgeo bucun yuhuangmiao geo:lat=3600780 geo:lon=11293347",36.0078,112.93347,"farm5.staticflickr.com/4110/4831517855_b6d4083b0f_",2048,1371,
"000272",4821221922,"2010-06-29T17:02:35","2017-04-04T08:11:00-05:00","dsc0960jpg","Zezhou_Daimiao   Tianqidian, 天齐殿   roof ornament","geotagged geo:tool=houdahgeo geo:lat=3541922 geo:lon=11272442",35.41922,112.72442,"farm5.staticflickr.com/4123/4821221922_336b23e306_",1371,2048,
"000153",4834837028,"2010-06-25T02:46:02","2017-04-04T08:11:00-05:00","p1010656jpg",,"geotagged shanxi geo:tool=houdahgeo pingshun chunhuasi yanggaoxiang yanggaocun geo:lat=36353233 geo:lon=11358620",36.353233,113.586199,"farm5.staticflickr.com/4106/4834837028_6424debcda_",640,480,
"000126",4831068639,"2010-07-01T20:25:59","2017-04-04T08:11:00-05:00","dsc0378jpg","Baitaisi exterior tablet","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4151/4831068639_b3110fc98a_",1371,2048,
"000126",4831681814,"2010-07-01T20:26:02","2017-04-04T08:11:00-05:00","dsc0379jpg","Baitaisi exterior tablet","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4148/4831681814_760f81f614_",2048,1371,
"000126",4831070283,"2010-07-01T20:30:02","2017-04-04T08:11:00-05:00","dsc0381jpg","Baitaisi exterior view of complex","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4091/4831070283_82e4651e1f_",2048,1371,
"000126",4831070511,"2010-07-01T20:30:10","2017-04-04T08:11:00-05:00","dsc0382jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4146/4831070511_6a2dc2f596_",2048,1371,
"000126",4831070737,"2010-07-01T20:30:37","2017-04-04T08:11:00-05:00","dsc0383jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4145/4831070737_50f69c43dd_",2048,1371,
"000126",4831071103,"2010-07-01T20:30:46","2017-04-04T08:11:00-05:00","dsc0384jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4145/4831071103_0d71c890d9_",2048,1371,
"000126",4831683790,"2010-07-01T20:31:04","2017-04-04T08:11:00-05:00","dsc0385jpg","Baitaisi   entrance","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4135/4831683790_0f29cbf6a7_",1371,2048,
"000126",4831072309,"2010-07-01T20:31:15","2017-04-04T08:11:00-05:00","dsc0386jpg","Baitaisi   entrance","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4109/4831072309_579095b0f6_",1371,2048,
"000126",4831685370,"2010-07-01T20:31:49","2017-04-04T08:11:00-05:00","dsc0387jpg","Baitaisi    entrance","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4132/4831685370_3602b14fee_",1371,2048,
"000126",4831073295,"2010-07-01T20:32:11","2017-04-04T08:11:00-05:00","dsc0388jpg","Baitaisi  entrance","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4089/4831073295_bceee3b494_",1371,2048,
"000126",4831073747,"2010-07-01T20:38:46","2017-04-04T08:11:00-05:00","dsc0389jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4082/4831073747_55a72ceeb3_",2048,1371,
"000126",4831074273,"2010-07-01T20:39:07","2017-04-04T08:11:00-05:00","dsc0390jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4098/4831074273_38dfb57989_",2048,1371,
"000126",4831075079,"2010-07-01T20:43:50","2017-04-04T08:11:00-05:00","dsc0391jpg","Baitaisi","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4101/4831075079_8f1efeab32_",2048,1371,
"000125",4831075875,"2010-07-01T20:44:03","2017-04-04T08:11:00-05:00","dsc0392jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4122/4831075875_107fbf1b42_",2048,1371,
"000126",4831688616,"2010-07-01T20:44:13","2017-04-04T08:11:00-05:00","dsc0393jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4139/4831688616_8d1a1b25e6_",2048,1371,
"000125",4831688846,"2010-07-01T20:44:21","2017-04-04T08:11:00-05:00","dsc0394jpg","Baitaisi   释迦殿  Shijiadian  and  bridge","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4077/4831688846_fe70cf8617_",2048,1371,
"000125",4831076741,"2010-07-01T20:44:31","2017-04-04T08:11:00-05:00","dsc0395jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4122/4831076741_f560838f5f_",2048,1371,
"000126",4831689558,"2010-07-01T20:45:28","2017-04-04T08:11:00-05:00","dsc0396jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4084/4831689558_784fddec4c_",2048,1371,
"000126",4831077645,"2010-07-01T20:45:31","2017-04-04T08:11:00-05:00","dsc0397jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4140/4831077645_bd5903517b_",2048,1371,
"000126",4831078033,"2010-07-01T20:45:39","2017-04-04T08:11:00-05:00","dsc0398jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4083/4831078033_fe08890079_",1371,2048,
"000126",4831690624,"2010-07-01T20:45:51","2017-04-04T08:11:00-05:00","dsc0399jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4078/4831690624_01ae68db42_",1371,2048,
