"MEDIUM","FABRIC","TECHNIQUE","FORM","SUB-FORM","START_DATE","END_DATE","PAINTER","POTTER","SUBJECT_ADDITIONAL","LOCATION_COUNTRY","LOCATION_CITY","COLLECTION_NAME","COLLECTION_ID","PROVENIENCE","modified","local_unique_identifier","TRENDALL_ID","scene_type_a_cv","IMAGE_SERIES","SCENE_TYPE_A","MUSICAL_SCENE_TYPE_A","CAT_DESCRIPTION_A","SIDE_A_DETAILS","SIDE_A_INSTRUMENTS_AND_NUMBERS","SIDE_A_PERFORMERS","SIDE_A_PERFORMER_LOCATION","SIDE_A_PERFORMER_ACTION","SIDE_A_NUMBER_OF_FIGURES","SIDE_A_COMPOSITION","SCENE_TYPE_B","MUSICAL_SCENE_TYPE_B","CAT_DESCRIPTION_B","SIDE_B_DETAILS","SIDE_B_INSTRUMENTS_AND_NUMBERS","SIDE_B_PERFORMERS","SIDE_B_PERFORMER_LOCATION","SIDE_B_PERFORMER_ACTION","SIDE_B_NUMBER_OF_FIGURES","SIDE_B_COMPOSITION","IMAGE_IDS","NOTES","PUBLICATION","CATEGORY_1","CATEGORY_2","RVAp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0350","0330","Painter of the Two Underworld Kraters",,,,"Naples","MANN",3222,,"2017-02-20T22:30:00-06:00","16-82",16.82,,"9218-31","MYTHOLOGICAL, FUNERARY","MYTHOLOGICAL(KI), FUNERARY(KI)","neck: amazonomachy; body: Persephone and Hades with mythological figures surrounding their structure, including Orpheus to the left and Herakles and Kerberos below","Neck: Amazonomachy, with Amazons on horses facing centre where two Greek warriors (one with skirt, one nude) fend them off; body: names inscribed; a central naiskos with Ionic columns at back and caryatids standing on acanthi at the front, under which a woman with torch a phiale sits opposite a bearded man with scepter and kantharos on a kline, to L six figures, two youths and a woman above and a woman on a panther skin, a youth named Oinai, and Orpheus facing L playing the kithara (6 pegs, c. 10 strings) with long, elaborate dress, Phrygian cap, and cloak, to R 6 more figures, two youths, a woman, and a tripod cauldron above three bearded (including one white-haired) old men below, two with scepters and one with a stick, below, L-R: Sisyphus (?), bearded, pushing a rock to the L, Hermes with petasos, kerykion, and cloak pointing L and looking R, Herakles with Lion's skin on a rock holding the chains of Cerberus, facing R, a woman sitting on a hippocamp facing R, looking L, and three women with hydria in lower R","1_(KI)","M(KI)","MIDL(KI)","STANDING(KI)","12_F,14_M,4_A","RADIAL","MYTHOLOGICAL (?)","MYTHOLOGICAL (?)(CHYL), MYTHOLOGICAL (?)(AKI), MYTHOLOGICAL (?)(AU)","Neck: Inscribed, Helios riding a quadriga to R, then eros with a  couple of fish, and Eos on horseback; body: upper, centre, a fully-draped youth sits R on a rock, a duck facing L below, playing the chelys lyre (strings not visible, L hand on strings and R on crossbar), to the L a woman with torch, a youth with phiale, and a satyr with thyrsos and phiale and, to R, three male figures in short chitons, one with mantle, with torches, phiale, and spears and shield, middle, L-R: two figures hold hands, L with torch, and moves L, two figures, a youth and a woman, sit facing R and looking at one another, youth on L with a kithara (?) tucked under R arm, two figures in elaborate dress, male and female, sit facing L, a thymiaterion behind, lower, L-R: a youth with short tunic and boots sits R on drapery playing the aulos (one pipe in each hand), another youth with short chiton wields dagger and prepares to strike a torso-nude woman, seated on a rock facing L and gesturing L, then two nude youths with spears and another youth with short chiton and torch watch from R","Neck: Inscribed, Helios riding a quadriga to R, then eros with a  couple of fish, and Eos on horseback; body: upper, centre, a fully-draped youth sits R on a rock, a duck facing L below, playing the chelys lyre (strings not visible, L hand on strings and R on crossbar), to the L a woman with torch, a youth with phiale, and a satyr with thyrsos and phiale and, to R, three male figures in short chitons, one with mantle, with torches, phiale, and spears and shield, middle, L-R: two figures hold hands, L with torch, and moves L, two figures, a youth and a woman, sit facing R and looking at one another, youth on L with a kithara (?) tucked under R arm, two figures in elaborate dress, male and female, sit facing L, a thymiaterion behind, lower, L-R: a youth with short tunic and boots sits R on drapery playing the aulos (one pipe in each hand), another youth with short chiton wields dagger and prepares to strike a torso-nude woman, seated on a rock facing L and gesturing L, then two nude youths with spears and another youth with short chiton and torch watch from R","1_(CHYL),1_(AKI),1_(AU)","M(CHYL),M(AKI),M(AU)","UPC(CHYL),MIDC(AKI),DOWNL(AU)","SEATED(CHYL),SEATED(AKI),SEATED(AU)",,"3 ROWS","IMAG9218.jpg, IMAG9219.jpg, IMAG9220.jpg, IMAG9221.jpg, IMAG9222.jpg, IMAG9223.jpg, IMAG9224.jpg, IMAG9225.jpg, IMAG9226.jpg, IMAG9227.jpg, IMAG9228.jpg, IMAG9229.jpg, IMAG9230.jpg, IMAG9231.jpg",,,"MTH",,"RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0345","0335","Gioia del Colle Painter",,,,"Basel","Market (M�nzen und Medaillen)",,,"2017-02-20T22:30:00-06:00","17-03a","17.03a",,9240,"FUNERARY","FUNERARY(XYL)","Neck: a R-facing profile female head in a flower with florals and scrolls; body: a central naiskos with two ionic columns in front covers a youth facing L with a dog, also facing L and reaching up for his hand, to the L upper a woman sits L with an open box and holding a xylophone by the arm (7 crossbars, finials on at least one end), to the lower L a youth faces R with a stick and wreath, to the upper R a youth sits on drapery facing R, looking L, with a phiale and in the lower R a woman leans L with a foot on the naiskos base holding one pipe of an aulos (????)","Neck: a R-facing profile female head in a flower with florals and scrolls; body: a central naiskos with two ionic columns in front covers a youth facing L with a dog, also facing L and reaching up for his hand, to the L upper a woman sits L with an open box and holding a xylophone by the arm (7 crossbars, finials on at least one end), to the lower L a youth faces R with a stick and wreath, to the upper R a youth sits on drapery facing R, looking L, with a phiale and in the lower R a woman leans L with a foot on the naiskos base holding one pipe of an aulos (????)","1_(XYL)","F(XYL)","UPL(XYL)","SEATED(XYL)","2_F,3_M","RADIAL","FUNERARY",,"A central, ribbon-tied stele, to the upper L a youth sits L with phiale and wreath and looks R, to the lower L a woman leans with aryballos to R towards stele, to the upper R a woman sits L with a box and bunch of  grapes, and to the lower R a youth approaches the naiskos to L with a sash and stick","A central, ribbon-tied stele, to the upper L a youth sits L with phiale and wreath and looks R, to the lower L a woman leans with aryballos to R towards stele, to the upper R a woman sits L with a box and bunch of  grapes, and to the lower R a youth approaches the naiskos to L with a sash and stick",,,,,"2_F,2_M","RADIAL","IMAG9240.jpg",,,"FUN",,"RVAp Supplement I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0345","0335","Gioia del Colle Painter",,"Mascaroons of female faces",,"London","Market (Sotheby's)","15.07.80 185",,"2017-02-20T22:30:00-06:00","17-07a","17.07a",,"9250-51, 9260-61","MYTHOLOGICAL, FUNERARY","MYTHOLOGICAL(PAN), FUNERARY(PAN)","Neck: pan runs L with his syrinx, looks R, a youth with lion skin and leaning R on club faces R, a central tree/branch with a serpent coiled around it, a woman faces L with phiale and oinochoe, and another woman sits R on a rock with a mirror; body: a central Ionic-columned naiskos on a well-adorned double-bass shelters a youth seated L on a stool with footrest facing a youth with sash-tied stick facing R, to upper L a woman with wreath and sash, to lower L a youth with sash, drapery, and phiale, to upper R a  youth with wreath sits L, to lower R a woman moves R, looks L, with sash and box","Neck: pan runs L with his syrinx, looks R, a youth with lion skin and leaning R on club faces R, a central tree/branch with a serpent coiled around it, a woman faces L with phiale and oinochoe, and another woman sits R on a rock with a mirror; body: a central Ionic-columned naiskos on a well-adorned double-bass shelters a youth seated L on a stool with footrest facing a youth with sash-tied stick facing R, to upper L a woman with wreath and sash, to lower L a youth with sash, drapery, and phiale, to upper R a  youth with wreath sits L, to lower R a woman moves R, looks L, with sash and box","1_(PAN)","S(PAN)","NECKL(PAN)","STANDING(PAN)","4_F,4_M,1_P,1_C,1_A","RADIAL","FUNERARY",,"Neck: palmettes; body: a central Doric-esque naiskos with a tendril flanked by four figures, to upper L a woman facing R with wreath in box, to lower L a youth with mantle around waisted, branch, stick, and sash, to upper R a torso-nude youth seated R, looking L with wreath and phiale with sprigs, to lower R a woman running L with wreath and bifurcated branch","Neck: palmettes; body: a central Doric-esque naiskos with a tendril flanked by four figures, to upper L a woman facing R with wreath in box, to lower L a youth with mantle around waisted, branch, stick, and sash, to upper R a torso-nude youth seated R, looking L with wreath and phiale with sprigs, to lower R a woman running L with wreath and bifurcated branch",,,,,"2_F,2_M","RADIAL","IMAG9250.jpg, IMAG9251.jpg, IMAG9260.jpg, IMAG9261.jpg",,,"MTH","FUN","RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0345","0335","Gioia del Colle Painter",,"mascaroons of female faces",,"London","Market (Sotheby's)","06.05.82 213",,"2017-02-20T22:30:00-06:00","17-09",17.09,,"9256-59","FUNERARY",,"Neck: a L-facing female head in a flower with florals all about; body: a central naiskos with ionic columns in which sits a dog facing R a youth seated L on an ionic column capital, with cloak, sheathed sword, and spears, greaves and a pilos helmet hanging to upper L, to the upper L of the naiskos a youth sits R, looks L, with wreath and daisy chain, to the lower L a woman bends R with an aryballos and wreath, to the upper R a woman sits R and looks L with a wreath and a box, and to lower R a youth walks L with strigil and stick","Neck: a L-facing female head in a flower with florals all about; body: a central naiskos with ionic columns in which sits a dog facing R a youth seated L on an ionic column capital, with cloak, sheathed sword, and spears, greaves and a pilos helmet hanging to upper L, to the upper L of the naiskos a youth sits R, looks L, with wreath and daisy chain, to the lower L a woman bends R with an aryballos and wreath, to the upper R a woman sits R and looks L with a wreath and a box, and to lower R a youth walks L with strigil and stick",,,,,"2_F,3_M,1_A","RADIAL","FUNERARY","FUNERARY(XYL)","Neck: palmettes; body: a central stele on high, ivy-covered base, to the upper R a woman seated L and looking R with mirror and phiale, to lower R a youth (?) leaning L with upraised patera and L foot raised, to the upper R a youth seated R and looking L, pouring from an oinochoe onto the stele and holding a phiale, to lower R a woman running R with an upraised xylophone with 18 crossbars and a box","Neck: palmettes; body: a central stele on high, ivy-covered base, to the upper R a woman seated L and looking R with mirror and phiale, to lower R a youth (?) leaning L with upraised patera and L foot raised, to the upper R a youth seated R and looking L, pouring from an oinochoe onto the stele and holding a phiale, to lower R a woman running R with an upraised xylophone with 18 crossbars and a box","1_(XYL)","F(XYL)","DOWNR(XYL)","WALKING(XYL)","2_F,2_M","RADIAL","IMAG9256.jpg, IMAG9257.jpg, IMAG9258.jpg, IMAG9259.jpg",,,"FUN",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Calyx","0345","0335","Related to the Gioia del Colle Painter",,,,"Taranto","MARTA",54086,,"2017-02-20T22:30:00-06:00","17-17",17.17,,"9266-67","FUNERARY",,"A central naiskos with a youth facing L with two spears, shield, and a pilos hat on a tripod table to the L flanked on the L by a youth with drapery over arms carrying grapes and a phiale and, to the R, a woman moving L with sash and branch","A central naiskos with a youth facing L with two spears, shield, and a pilos hat on a tripod table to the L flanked on the L by a youth with drapery over arms carrying grapes and a phiale and, to the R, a woman moving L with sash and branch",,,,,"1_F,2_M","SINGLE","PROCESSION (DIONYSIAC)","PROCESSION (DIONYSIAC)(TYM)","A woman moves R with drapery over L arm, branch, and upraised tambourine, a youth moves R, looks L, with wreath, drapery over L arm, and bifurcated branch","A woman moves R with drapery over L arm, branch, and upraised tambourine, a youth moves R, looks L, with wreath, drapery over L arm, and bifurcated branch","1_(TYM)","F(TYM)","L(TYM)","WALKING(TYM)","1_F,1_M","SINGLE","IMAG9266.jpg, IMAG9267.jpg",,,"DIO",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0345","0335","Related to the Gioia del Colle Painter",,,,"Matera","Private Collection (ex Prof. Rizzon)",,,"2017-02-20T22:30:00-06:00","17-20-4","17.20-4",,9282,"FUNERARY","FUNERARY(KI)","Neck: a white female head in L-facing profile grows out of a flower with florals all about; body: A central naiskos with ionic columns and a base with a meander drawn on shelters the figure of a woman with long hair and radiate crown, in added white, with a long, red skirt with tassels on it a cross-chest straps, facing L and looking R, to the R an old, white-haired male with cloak, boots, and white sleeves holds the R arm of a kithara with c. 8 pegs, the other hand to his head, and to the R a woman with full mantle walks L carrying a phiale and holding one hand to her face","Neck: a white female head in L-facing profile grows out of a flower with florals all about; body: A central naiskos with ionic columns and a base with a meander drawn on shelters the figure of a woman with long hair and radiate crown, in added white, with a long, red skirt with tassels on it a cross-chest straps, facing L and looking R, to the R an old, white-haired male with cloak, boots, and white sleeves holds the R arm of a kithara with c. 8 pegs, the other hand to his head, and to the R a woman with full mantle walks L carrying a phiale and holding one hand to her face","1_(KI)","M(KI)","L(KI)","STANDING(KI)","2_F,1_M","SINGLE","DIONYSIAC","DIONYSIAC(TYM)","Neck: palmette; body: A woman with wreath and upraised tympanon walks R towards a central altar/stele, a youth moves L on the other side with drapery over L arm, holding grapes over the altar and a branch in L arm, a phiale frontal above","Neck: palmette; body: A woman with wreath and upraised tympanon walks R towards a central altar/stele, a youth moves L on the other side with drapery over L arm, holding grapes over the altar and a branch in L arm, a phiale frontal above","1_(TYM)","F(TYM)","L(TYM)","STANDING(TYM)","1_F,1_M","SINGLE","IMAG9282.jpg",,,"FUN","DIO","RVAp Supplement II.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Pelike",,"0345","0335","Related to the Gioia del Colle Painter",,"Graffito on base",,"London","Market (Sotheby's)","14.12.81 239",,"2017-02-20T22:30:00-06:00","17-20a","17.20a",,"9268-69","SINGLE_FIGURE",,"A woman runs R, looks L, with phiale and sash","A woman runs R, looks L, with phiale and sash",,,,,"1_F","SINGLE","SINGLE_FIGURE","SINGLE_FIGURE(XYL)","An eros sits L on a rock holding up by the arm a xylophone with 16 dot-studded crossbars and arms with finials and a bunch of grapes","An eros sits L on a rock holding up by the arm a xylophone with 16 dot-studded crossbars and arms with finials and a bunch of grapes","1_(XYL)","E(XYL)","C(XYL)","SEATED(XYL)","1_E","SINGLE","IMAG9268.jpg, IMAG9269.jpg",,,"SGL",,"RVAp Supplement I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Pelike",,"0345","0335","Related to the Gioia del Colle Painter",,,,"New York","Market (Royal Athena Galleries)",,,"2017-02-20T22:30:00-06:00","17-20b","17.20b",,9270,"SINGLE_FIGURE",,"A woman runs R, looks L, with box and wreath","A woman runs R, looks L, with box and wreath",,,,,"1_F","SINGLE","SINGLE_FIGURE","SINGLE_FIGURE(TYM)","An eros stands facing R with a wreath and upraised tambourine, a small stele to lower R","An eros stands facing R with a wreath and upraised tambourine, a small stele to lower R","1_(TYM)","E(TYM)","C(TYM)","STANDING(TYM)","1_E","SINGLE","IMAG9270.jpg",,,"SGL",,"RVAp Supplement II.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Pelike",,"0345","0335","Related to the Gioia del Colle Painter",,,,"Paris","Guden","Cat. 23",,"2017-02-20T22:30:00-06:00","17-20e","17.20e",,"9272-73","SINGLE_FIGURE","SINGLE_FIGURE(TYM)","A low, spotted stele (voting slots?) to lower L, an eros facing R with sash-draped wreath, open box, and tambourine held over a kalathos","A low, spotted stele (voting slots?) to lower L, an eros facing R with sash-draped wreath, open box, and tambourine held over a kalathos","1_(TYM)","E(TYM)","C(TYM)","STANDING(TYM)","1_E","SINGLE","SINGLE_FIGURE",,"woman seated left on a rock holding a cista and wreath","woman seated left on a rock holding a cista and wreath",,,,,"1_F","SINGLE","IMAG9272.jpg, IMAG9273.jpg",,,"SGL",,"RVAp Supplement II.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0345","0335","Comparable to the Gioia del Colle Painter",,,,"Pulsano","Private Collection (Guarini)",1,,"2017-02-20T22:30:00-06:00","17-25a","17.25a",,9293,"FUNERARY","FUNERARY(TYM)","A central naiskos with unadorned capitals covers a woman seated facing R on a box holding a box and looking R to a woman with full mantle, standing facing L, with fan held to L; to upper L, a woman sits R with a wreath and phiale, to lower L a youth moves R with a phiale, drapery over L arm, to upper R a woman sits L with phiale and wreath, and to lower R a woman runs L with basket, tambourine, and wreath","A central naiskos with unadorned capitals covers a woman seated facing R on a box holding a box and looking R to a woman with full mantle, standing facing L, with fan held to L; to upper L, a woman sits R with a wreath and phiale, to lower L a youth moves R with a phiale, drapery over L arm, to upper R a woman sits L with phiale and wreath, and to lower R a woman runs L with basket, tambourine, and wreath","1_(TYM)","F(TYM)","DOWNR(TYM)","WALKING(TYM)","5_F,1_M","RADIAL",,,,,,,,,,,"IMAG9293.jpg",,,"FUN",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0345","0335","Comparable to the Gioia del Colle Painter",,,,"Bologna","Museo Civico Archeologico",548,,"2017-02-20T22:30:00-06:00","17-29",17.29,,9297,"FUNERARY","FUNERARY(XYL)","A central naiskos with ionic front columns, wave pattern floor, and floral-decorated base has a woman with long dress and drapery over L arm facing R with a ball and an open cista into which another woman, taller, in full mantle and facing L, looks; to upper L a woman sits on a box with a wreath, to lower L a woman approaches with a mirror, to upper R a woman sits L with a phiale and sash (and stick?), to lower R a woman approaches carrying by the arm a xylophone (11 crossbars with dots in the centre, finials on ends) and a platter with offerings (?)","A central naiskos with ionic front columns, wave pattern floor, and floral-decorated base has a woman with long dress and drapery over L arm facing R with a ball and an open cista into which another woman, taller, in full mantle and facing L, looks; to upper L a woman sits on a box with a wreath, to lower L a woman approaches with a mirror, to upper R a woman sits L with a phiale and sash (and stick?), to lower R a woman approaches carrying by the arm a xylophone (11 crossbars with dots in the centre, finials on ends) and a platter with offerings (?)","1_(XYL)","F(XYL)","DOWNR(XYL)","WALKING(XYL)","6_F","RADIAL",,,,,,,,,,,"IMAG9297.jpg",,,"FUN",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0340","0330","Painter of Copenhagen 4223",,"Female mascaroons, added white on side A, RF on side B",,"London","Market (Sotheby's)","13.07.87 44, 30372-1, 306",,"2017-02-20T22:30:00-06:00","17-3q","17.3?",,9325,"FUNERARY","FUNERARY(TYM)","Neck: underneath a meander patter, an eros sits L and looks R with wings outstretched on top of a flower with florals all around; body: a central naiskos with a single figure of a frontal youth with lion skin over head and holding club and branch, a crested helmet to upper L, a kalathos to lower L, and a shield to lower R, attended to by a woman on L facing R with iynx and ball and a woman on R facing L with two sashes and an upraised tambourine","Neck: underneath a meander patter, an eros sits L and looks R with wings outstretched on top of a flower with florals all around; body: a central naiskos with a single figure of a frontal youth with lion skin over head and holding club and branch, a crested helmet to upper L, a kalathos to lower L, and a shield to lower R, attended to by a woman on L facing R with iynx and ball and a woman on R facing L with two sashes and an upraised tambourine","1_(TYM)","F(TYM)","R(TYM)","STANDING(TYM)","2_F,1_M,1_E","SINGLE","FUNERARY",,"Neck: palmettes; body: a central, ribbon-tied, Ionic column with a dish on the top, flanked by two floating phialai, then a woman on each side, L approaching with branch (thyrsos?) and wreath, R approaching with grapes and branch (thyrsos?)","Neck: palmettes; body: a central, ribbon-tied, Ionic column with a dish on the top, flanked by two floating phialai, then a woman on each side, L approaching with branch (thyrsos?) and wreath, R approaching with grapes and branch (thyrsos?)",,,,,"2_F","SINGLE","IMAG9325.jpg",,,"FUN",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0345","0335","Comparable to the Gioia del Colle Painter",,,,"London","Market (Sotheby's)","09.12.86 183",,"2017-02-20T22:30:00-06:00","17-31a","17.31a",,"9298-99","FUNERARY","FUNERARY(TYM)","A central naiskos with ionic columns in which a woman with striped down centre of peplos stands facing R with wreath and extending fan to woman seated L on an ionic column with a ball, an aryballos leaning on the wall behind; to the L, a woman leans L on a craggy pillar and faces R holding a bifurcated branch and a patera, on the R a woman faces L with a bunch of grapes and an upraised tambourine","A central naiskos with ionic columns in which a woman with striped down centre of peplos stands facing R with wreath and extending fan to woman seated L on an ionic column with a ball, an aryballos leaning on the wall behind; to the L, a woman leans L on a craggy pillar and faces R holding a bifurcated branch and a patera, on the R a woman faces L with a bunch of grapes and an upraised tambourine","1_(TYM)","F(TYM)","R(TYM)","STANDING(TYM)","4_F","SINGLE",,,,,,,,,,,"IMAG9298.jpg, IMAG9299.jpg",,,"FUN",,"RVAp Supplement II.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
