"order","iri_local_name","modified","site_name_zh-Hans","site_name_zh-Latn-pinyin","site_name_en","site_geonames_id","site_getty_togn_id","earliest_period_zn-Hans","earliest_period_en","earliest_period_iri","latest_period_zn-Hans","latest_period_en","latest_period_iri","site_date_verbatim_zn-Hans","site_date_en","location_zn-Hans","province_name_zn-Hans","province_name_zh-latn-pinyin","province_zn-Hans","county-city_name_zn-Hans","political subdivision_zn-Hans","county-city_name_zh-latn-pinyin","political subdivision_en","political_subdivision_getty_tgn","subdivision_getty_aat_type","locality_zn-Hans","political subdivision2_zn-Hans","Geo_note","county-city_verbatim_zn-Hans","locality_en","locality_geonames_id","locality_getty_togn_id","Note"
13,"Tiantaian","2016-10-19T13:46:00-05:00","天台庵","Tiantaian","Tiantai Hermitage ",,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","山西省平顺县","山西","Shanxi","山西省","平顺","县","Pingshun","County","8618711","300387198",,,,"平顺县",,,,
14,"Sanjunmiao","2016-10-19T13:46:00-05:00","三峻庙","Sanjunmiao","Sanjun Temple",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省壶关县","山西","Shanxi","山西省","壶关","县","Huguan","County","8206585","300387198",,,,"壶关县",,,,
15,"Shaolinsi","2016-10-19T13:46:00-05:00","少林寺初祖庵","Shaolinsi","Shaolin Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","河南省登封市","河南","Henan","河南省","登封","市","Dengfeng Shi","City","8200070","300387198",,,,"登封市",,,,
16,"Bucun_Yuhuangmiao","2016-10-19T13:46:00-05:00","布村玉皇庙","Bucun Yuhuangmiao","Yuhuang Temple in Bucun",,,"五代","Five Dynasties","http://n2t.net/ark:/99152/p0fp7wv5h26","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","五代，金","Five Dynasties to Jin","山西省长治市","山西","Shanxi","山西省","长治","市","Changzhi","City","8206366","300387198","长子","县","布村","村",,,,
17,"Puzhaosi","2016-10-19T13:46:00-05:00","普照寺大殿","Puzhaosi","Puzhao Monastery",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省沁县","山西","Shanxi","山西省","沁","县",,"County",,,,,,"沁县",,,,
18,"Damiao","2016-10-19T13:46:00-05:00","大庙飞来殿","Damiao","Great Temple",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","元","Yuan","http://n2t.net/ark:/99152/p0fp7wvvrz5","宋至元: 993 or 1327 see: ZGMSCD, p. 922","Song to Yuan","四川省峨眉县","四川","Sichuan","四川省","峨眉","县",,"County",,,,,,"峨眉县",,,,"993 or 1327 see: ZGMSCD, p. 922"
19,"Zhongping_Erxiangong","2016-10-19T13:46:00-05:00","中坪二仙宫","Zhongping Erxiangong","Erxian Palace in Zhongping",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省高平市","山西","Shanxi","山西省","高平","市","Gaoping","City","8206832","300387198",,,,"高平市",,,,
20,"Huilongsi","2016-10-19T13:46:00-05:00","回龙寺","Huilongsi","Huilong Monastery",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省平顺县","山西","Shanxi","山西省","平顺","县",,"County",,,"阳高","乡","阳高乡侯壁村","平顺县； 平顺县阳高乡侯壁村",,,,
21,"Putian_Yuanmiaoguan_Sanqingdian","2016-10-19T13:46:00-05:00","莆田元妙观三清殿","Yuanmiaoguan","Yuanmiao Belvederi",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","福建省莆田市","福建","Fujian","福建省","莆田","市","Putian","City","8623015","300387145",,,,"莆田市",,,,
22,"Cixiangsi","2016-10-19T13:46:00-05:00","慈相寺","Cixiangsi","Cixiang Monastery",,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","北宋至清","Northern Song to Qing","山西省平遥县","山西","Shanxi","山西省","平遥","县","Pingyao","County","8619493","300387198",,,,"平遥县",,,,
23,"Huayansi","2016-10-19T13:46:00-05:00","华严寺","Huayansi","Huayan Monastery",,,"辽","Liao","http://n2t.net/ark:/99152/p0fp7wvw8zq","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","辽、金、清","Liao to Qing","山西省大同市","山西","Shanxi","山西省","大同","市","Datong","City","8208819","300387198",,,,"大同市",,2037794,8208820,
24,"Kaihuasi","2016-10-19T13:46:00-05:00","开化寺","Kaihuasi","Kaihua Monastery",,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","北宋至清","Northern Song to Qing","山西省高平市","山西","Shanxi","山西省","高平","市","Gaoping","City","8206832","300387198",,,,"高平市",,,,
25,"Daimiao","2016-10-19T13:46:00-05:00","岱庙*","Daimiao","Temple to the Eastern Peak",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山东省泰安市","山东","Shandong","山东省","泰安","市",,"City",,,,,,"泰安市",,,,
26,"Guangren_wangmiao","2016-10-19T13:46:00-05:00","广仁王庙","Guangren Wangmiao","Wang Temple in Guangren",,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","山西省芮城县","山西","Shanxi","山西省","芮城","县","Ruicheng","County","8624069","300387198",,,,"芮城县",,,,
27,"Erlangmiao","2016-10-19T13:46:00-05:00","二郞庙","Erlangmiao","Erlang Temple",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省高平市","山西","Shanxi","山西省","高平","市","Gaoping","City","8206832","300387198",,,,"高平市",,,,
28,"Chunhuasi","2016-10-19T13:46:00-05:00","淳化寺","Chunhuasi","Chunhua Monastery ",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省平顺县","山西","Shanxi","山西省","平顺","县","Pingshun","County","8618711","300387198",,,,"平顺县",,,,
29,"Guangdesi","2016-10-19T13:46:00-05:00","广德寺","Guangdesi","Guangde Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","四川省遂宁市","四川","Sichuan","四川省","遂宁","市",,"City",," county",,,,"遂宁市",,,,
30,"Foguangsi","2016-10-19T13:46:00-05:00","佛光寺","Foguangsi","Foguang Monastery",,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","唐至清","Tang to Qing","山西省五台县","山西","Shanxi","山西省","五台","县","Wutai","County","8675821","300387198",,,,"五台县",,,,
31,"Dongyi_Longwangmiao","2016-10-19T13:46:00-05:00","东邑龙王庙","Dongyi Longwangmiao","Longwang Temple in Dongyi",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省潞城市","山西","Shanxi","山西省","潞城","市","Lucheng Zhen","City","8620155","300387199",,,,"潞城市",,,,
32,"Gesaer_30dajiangjunlingtahedanasi","2016-10-19T13:46:00-05:00","格萨尔三十大将军灵塔和达那寺","Gesaer 30dajiangjunlingtahedanasi","Gesar Thirty General General Pagoda and Dana Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","元","Yuan","http://n2t.net/ark:/99152/p0fp7wvvrz5","宋、元","Song to Yuan","青海省囊谦县","青海","Qinghai","青海省","囊谦","县",,"County",,,,,,"囊谦县",,,,
33,"Shizhang_Yuhuangmiao","2016-10-19T13:46:00-05:00","石掌玉皇庙","Shizhang Yuhuangmiao","Yuhuang Temple in Shizhang",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省陵川县","山西","Shanxi","山西省","陵川","县","Lingchuan","County","8623563","300387198",,,,"陵川县",,,,
34,"Nanjixiangsi","2016-10-19T13:46:00-05:00","南吉祥寺","Nanjixiangsi","Nanjixiang Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋－清","Song to Qing","山西省陵川县","山西","Shanxi","山西省","陵川","县","Lingchuan","County","8623563","300387198","平川","村",,"陵川县平川",,,,
35,"Buersi","2016-10-19T13:46:00-05:00","不二寺","Buersi","Buer Monastery",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省阳曲县","山西","Shanxi","山西省","阳曲","县","Yangqu Zhen","County","8675188","300387199",,,,"阳曲县",,,,
36,"Taifuguan","2016-10-19T13:46:00-05:00","太符观","Taifuguan","Taifu Belvederi ",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省汾阳市","山西","Shanxi","山西省","汾阳","市","Fenyang","City","8206001","300387198",,,,"汾阳市",,,,
37,"Xiaozhangcun_Biyunsi","2016-10-19T13:46:00-05:00","小张村碧云寺","Xiaozhangcun Biyunsi","Biyun Monastery in Xiaozhangcun",,,"五代","Five Dynasties","http://n2t.net/ark:/99152/p0fp7wv5h26","五代","Five Dynasties","http://n2t.net/ark:/99152/p0fp7wv5h26","五代","Five Dynasties","山西省长子县","山西","Shanxi","山西省","长子","县","Zhangzi","County","8677997","300387198","小张","村",,"张存",,,,
