"order","iri_local_name","modified","site_name_zh-Hans","site_name_zh-Latn-pinyin","site_name_en","site_geonames_id","site_getty_togn_id","earliest_period_zn-Hans","earliest_period_en","earliest_period_iri","latest_period_zn-Hans","latest_period_en","latest_period_iri","site_date_verbatim_zn-Hans","site_date_en","location_zn-Hans","province_name_zn-Hans","province_name_zh-latn-pinyin","province_zn-Hans","county-city_name_zn-Hans","political subdivision_zn-Hans","county-city_name_zh-latn-pinyin","political subdivision_en","political_subdivision_getty_tgn","subdivision_getty_aat_type","locality_zn-Hans","political subdivision2_zn-Hans","Geo_note","county-city_verbatim_zn-Hans","locality_en","locality_geonames_id","locality_getty_togn_id","Note"
58,"Kaifusi","2016-10-19T13:46:00-05:00","开福寺","Kaifusi","Kaifu Monastery",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","金至明","Jin to Ming","山西省阳城县","山西","Shanxi","山西省","阳城","县","Yangcheng","County","8683046","300387198",,,,"阳城县",,,,
59,"Fengguosi","2016-10-19T13:46:00-05:00","奉国寺","Fengguosi","Fengguo Monastery",,,"辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽 1020","Liao ","辽宁省义县","辽宁","Liaoning","辽宁省","义","县",,"County",,,,,,"义县",,,,
60,"Jinci","2016-10-19T13:46:00-05:00","晋祠","Jinci","Jin Shrines ",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋-20th century","Song to Qing","山西省太原市","山西","Shanxi","山西省","太原","市","Taiyuan","City","8680913","300387145",,,,"太原市",,,,
61,"Pingyao_Wenmiao","2016-10-19T13:46:00-05:00","平遥文廟","Pingyao Wenmiao","Wen Temple in Pingyao",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省平遥县","山西","Shanxi","山西省","平遥","县","Pingyao","County","8619493","300387198",,,,"平遥县",,,,
62,"Dingxiang_Guanwangmiao","2016-10-19T13:46:00-05:00","定襄关王庙","Dingxiang Guanwangmiao","Guanwang Temple in Dingxiang",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省定襄县","山西","Shanxi","山西省","定襄","县",,"County",,,,,,"定襄县",,,,
63,"Suzhou_Xuanmiaoguan_Sanqingdian","2016-10-19T13:46:00-05:00","苏州玄妙观三清殿","Suzhou Xuanmiaoguan","Xuanmiao Belvederi in Suzhou",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","江苏省苏州市","江苏","Jiangsu","江苏省","苏州","市","Suzhou Shi","City","8570104","300387145",,,,"苏州市",,,,
64,"Dayunyuan","2016-10-19T13:46:00-05:00","大云院","Dayunyuan","Dayun Cloister",,,"五代","Five Dynasties","http://n2t.net/ark:/99152/p0fp7wv5h26","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","五代至清","Five Dynasties to Qing","山西省平顺县","山西","Shanxi","山西省","平顺","县","Pingshun","County","8618711","300387198",,,,"平顺县",,,,
65,"Qinshui_Cuifujunmiao","2016-10-19T13:46:00-05:00","沁水崔府君庙","Qinshui Cuifujunmiao","Cuifujun Temple in Qinshui",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","元","Yuan","http://n2t.net/ark:/99152/p0fp7wvvrz5","金元","Jin to Yuan","山西省沁水县","山西","Shanxi","山西省","沁水","县","Qinshui","County","8627543","300387198","加丰","镇","郭南村","加丰镇郭南村","Jiafengzhen_Guonancun",,,
66,"Kaishansi","2016-10-19T13:46:00-05:00","开善寺","Kaishansi","Kaishan Monastery",,,"辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","河北省高碑店市","河北","Hebei","河北省","高碑店","市","Gaobeidian Shi","City","8682025","300387198",,,,"高碑店市",,,,
67,"Puguangsi","2016-10-19T13:46:00-05:00","普光寺","Puguangsi","Puguang Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省寿阳县","山西","Shanxi","山西省","寿阳","县",,"County",,,,,,"寿阳县",,,,
68,"Langbi","2016-10-19T13:46:00-05:00","廊必圣天寺","Langbi Shengtiansi","Shengtian Monastery in Langbi",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省沁水县","山西","Shanxi","山西省","沁水","县","Qinshui","County","8627543","300387198","郑庄","镇","廊必村","庄廊必村","Dong_Langbicun_Zhengzhuangzhen_Qinshui",,,
69,"Guangfansi","2016-10-19T13:46:00-05:00","兴梵寺","Guangfansi","Guangfan Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省祁县","山西","Shanxi","山西省","祁","县",,"County",,,,,,"祁县",,,,
70,"Jindongsi","2016-10-19T13:46:00-05:00","金洞寺","Jindongsi","Jindong Monastery",,,"宋","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Jin to Qing","山西省忻州市","山西","Shanxi","山西省","忻州","市",,"City",,,,,,"忻州市",,,,
71,"Chongmingsi","2016-10-19T13:46:00-05:00","崇明寺","Chongmingsi","Chongming Monastery",,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","北宋至明","Northern Song to Ming","山西省高平市","山西","Shanxi","山西省","高平","市","Gaoping","City","8206832","300387198",,,,"高平市",,,,
72,"Runcheng_Dongyuemiao","2016-10-19T13:46:00-05:00","润城东岳庙/屯城東岳廟","Runcheng Dongyuemiao","Dongyue Temple in Runcheng/Dongyue Temple in Duncheng",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省阳城县","山西","Shanxi","山西省","阳城","县","Yangcheng","County","8683046","300387198",,,,"阳城县",,,,
73,"Nanchansi","2016-10-19T13:46:00-05:00","南禅寺","Nanchansi","Nanchan Monastery",,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","山西省五台县","山西","Shanxi","山西省","五台","县","Wutai","County","8675821","300387198",,,,"五台县",,,,
74,"Jingzhuang_Dayunsi","2016-10-19T13:46:00-05:00","荆庄大云寺大雄宝殿","Jingzhuang Dayunsi","Dayun Monastery in Jingzhuang",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省浑源县","山西","Shanxi","山西省","浑源","县",,"County",,,,,,"浑源县",,,,
75,"Chengtangmiao","2016-10-19T13:46:00-05:00","成汤庙山门","Chengtangmiao","Chengtang Temple",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金 1164","Jin","河北省邯鄲涉县","河北","Hebei","河北省","邯鄲","市",,"City",,,"涉","县",,"邯鄲涉县",,,,
76,"Guanwangmiao","2016-10-19T13:46:00-05:00","关王庙","Guanwangmiao","Guanwang Temple",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省阳泉市","山西","Shanxi","山西省","阳泉","市","Yangquan","City","8675178","300387145",,,,"阳泉市",,,,
77,"Liang_Cheng_guli","2016-10-19T13:46:00-05:00","两程故里","Liang Cheng guli","Home of the Two Cheng",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","宋至明","Song to Ming","河南省嵩县","河南","Henan","河南省","嵩","县",,"County",,,,,,"嵩县",,,,
78,"Cuifujunmiao","2016-10-19T13:46:00-05:00","崔府君庙","Cuifujunmiao","Cuifujun Temple",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省陵川县","山西","Shanxi","山西省","陵川","县","Lingchuan","County","8623563","300387198",,,,"陵川县",,,,
79,"Longxingsi","2016-10-19T13:46:00-05:00","隆兴寺","Longxingsi","Longxing Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","initially built 586; now 宋 10th-11th century","Song","河北省正定县","河北","Hebei","河北省","正定","县","Zhengding","County","8683355","300387198",,,,"正定县",,,,"itially built 586; now 宋 10th-11th century"
80,"Jiutianshengmumiao","2016-10-19T13:46:00-05:00","九天圣母庙","Jiutianshengmumiao","Jiutianshengmu Temple",,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","北宋至清","Northern Song to Qing","山西省平顺县","山西","Shanxi","山西省","平顺","县","Pingshun","County","8618711","300387198",,,,"平顺县",,,,
81,"Hualinsi","2016-10-19T13:46:00-05:00","华林寺大殿","Hualinsi","Hualin Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","福建省福州市","福建","Fujian","福建省","福州","市","Fuzhou","City","8199891","300387145",,,,"福州市",,,,
82,"Hongjiyuan","2016-10-19T13:46:00-05:00","洪济院","Hongjiyuan","Hongji Cloister",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省武乡县","山西","Shanxi","山西省","武乡","县","Wuxiang","County","8676733","300387198",,,,"武乡县",,,,
83,"Chongfusi","2016-10-19T13:46:00-05:00","崇福寺弥陀殿","Chongfusi","Chongfu Monastery",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省朔县","山西","Shanxi","山西省","朔","县",,"County",,,,,,"朔县",,,,
84,"Wuxiang_Dayunsi","2016-10-19T13:46:00-05:00","武乡县大云寺","Wuxiang_Dayunsi","Dayun Monastery in Wuxiang",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省武乡县","山西","Shanxi","山西省","武乡","县","Wuxiang","County","8676733","300387198",,,,"武乡县",,,,
85,"Xiajiao_Tangdimiao","2016-10-19T13:46:00-05:00","下交汤帝庙","Xiajiao Tangdimiao","Tangdi Temple in Xiajiao",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省阳城县","山西","Shanxi","山西省","阳城","县","Yangcheng","County","8683046","300387198",,,,"阳城县",,,,
86,"Wanrong_Jiwangmiao","2016-10-19T13:46:00-05:00","万荣稷王庙","Wanrong Jiwangmiao","Jiwang Temple in Wanrong",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省万荣县","山西","Shanxi","山西省","万荣","县",,"County",,,,,,"万荣县",,,,
87,"Xilimen_Erxianmiao","2016-10-19T13:46:00-05:00","西李门二仙庙","Xilimen Erxianmiao","Erxian Temple in Xilimen",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省高平市","山西","Shanxi","山西省","高平","市","Gaoping","City","8206832","300387198",,,,"高平市",,,,
88,"Ruicheng_Chenghuangmiao","2016-10-19T13:46:00-05:00","芮城城隍庙","Ruicheng Chenghuangmiao","Chenghuang Temple in Ruicheng",,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","北宋至清: Main Hall Song--11th cen?","Northern Song to Qing","山西省芮城县","山西","Shanxi","山西省","芮城","县",,"County",,,,,,"芮城县",,,,"Main Hall Song--11th cen?"
89,"Qixian_Xingfansi","2016-10-19T13:46:00-05:00","祁县兴梵寺","Qixian Xiangfansi","Xiangfan Monastery in Qixian",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省祁县","山西","Shanxi","山西省","祁","县",,"County",,,"东观","镇","中学里面","观镇中学里面","Qixian_Dongguangzhen_Zongxue_limian",,,
90,"Sirun_Sanjiaotang","2016-10-19T13:46:00-05:00","寺润三教堂","Sirun Sanjiaotang","Sanjiaotang in Sirun",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省陵川县","山西","Shanxi","山西省","陵川","县","Lingchuan","County","8623563","300387198","杨村","镇","寺润村","陵川县; 陵川县杨村镇寺润村",,,,
91,"Xingdongyuan_Dongyuemiao","2016-10-19T13:46:00-05:00","兴东垣东岳庙","Xingdongyuan Dongyuemiao","Dongyue Temple in Xingdongyuan",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省石楼县","山西","Shanxi","山西省","石楼","县",,"County",,,,,,"石楼县",,,,
92,"Xining_Shoushengsi","2016-10-19T13:46:00-05:00","乡宁寿圣寺","Xining Shoushengsi","Shousheng Monastery in Xining ",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","金至明","Jin to Ming","山西省乡宁县","山西","Shanxi","山西省","乡宁","县",,"County",,,,,,"乡宁县",,,,
93,"Xixi_Erxianmiao","2016-10-19T13:46:00-05:00","西溪二仙庙","Xixi Erxianmiao","Erxian Temple in Xixi",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省陵川县","山西","Shanxi","山西省","陵川","县","Lingchuan","County","8623563","300387198",,,,"陵川县",,,,
94,"Yangquan_Dawangmiao","2016-10-19T13:46:00-05:00","陽泉大王庙","Yangquan Dawangmiao","Dawang Temple in Yangquan (Great King Temple in Yangquan)",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","金至明","Jin to Ming","山西省陽泉市","山西","Shanxi","山西省","陽泉","市",,"City",,,"盂","县",,"陽泉市盂县",,,,
95,"Youxiansi","2016-10-19T13:46:00-05:00","游仙寺","Youxiansi","Youxian Monastery",,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","北宋至清","Northern Song to Qing","山西省高平市","山西","Shanxi","山西省","高平","市","Gaoping","City","8206832","300387198",,,,"高平市",,,,
96,"Yuanzhou_Qiaolou","2016-10-19T13:46:00-05:00","袁州谯楼","Yuanzhou Qiaolou","Qiao Tower in Yuanzhou",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清 ","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清 袁州譙樓建於南宋嘉定十二年(西元１２１９年)","Song to Qing","江西省宜春市","江西","Jiangxi","江西省","宜春","市",,"City",,,,,,"宜春市","袁州譙樓建於南宋嘉定十二年(西元１２１９年)",,,
97,"Yuanqisi","2016-10-19T13:46:00-05:00","原起寺","Yuanqisi","Yuanqi Temple",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省潞城市","山西","Shanxi","山西省","潞城","市","Lucheng","City","8620152","300387198",,,,"潞城市",,,,
98,"Yanshansi","2016-10-19T13:46:00-05:00","岩山寺","Yanshansi","Yanshan Monastery",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省繁峙县","山西","Shanxi","山西省","繁峙","县","Fanzhi","County","8212144","300387198",,,,"繁峙县",,,,
99,"Yanqingsi","2016-10-19T13:46:00-05:00","延庆寺","Yanqingsi","Yanqing Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省五台县","山西","Shanxi","山西省","五台","县","Wutai","County","8675821","300387198",,,,"五台县","Wutai_County",1790954,8675821,
100,"Yuhuangmiao","2016-10-19T13:46:00-05:00","玉皇庙","Yuhuangmiao","Yuhuang Temple",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省晋城市","山西","Shanxi","山西省","晋城","市","Jincheng","City","8619006","300387145",,,,"晋城市",,,,
101,"Yunyansi","2016-10-19T13:46:00-05:00","云岩寺","Yunyansi","Yunyan Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","四川省江油县","四川","Sichuan","四川省","江油","县",,"County",,,,,,"江油县",,,,
102,"Yuquan_Dongyuemiao","2016-10-19T13:46:00-05:00","玉泉东岳庙","Yuquan Dongyuemiao","Dongyue Temple in Yuquan",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省陵川县","山西","Shanxi","山西省","陵川","县","Lingchuan","County","8623563","300387198","附城","镇",,"陵川县附城镇",,,,
103,"Zetianmiao","2016-10-19T13:46:00-05:00","则天庙","Zetianmiao","Zetian Temple",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省文水县","山西","Shanxi","山西省","文水","县","Wenshui","County","8681108","300387198",,,,"文水县","northeast of Wenshui, Shanxi",,,
104,"Zezhou_Daimiao","2016-10-19T13:46:00-05:00","泽州岱庙","Zezhou Daimiao","Dai Temple in Zezhou",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","宋至明","Song to Ming","山西省泽州县","山西","Shanxi","山西省","泽州","县","Zezhou","County","8145851","300387198",,,,"泽州县",,,,
105,"Zhangye_Dafosi","2016-10-19T13:46:00-05:00","张掖大佛寺","Zhangye Dafosi","Dafo Monastery in Zhangye (Great Buddha Monastery in Zhangye)",,,"西夏","Xixia","http://n2t.net/ark:/99152/p0fp7wv699w","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","西夏、清 ? Foundation Xixia?","Xixia to Qing","甘肃省张掖市","甘肃","Gansu","甘肃省","张掖","市",,"City",,,,,,"张掖市",,,,
106,"Zhangzi_Fujunmiao","2016-10-19T13:46:00-05:00","长子县府君庙","Zhangzi Fujunmiao","Fujun Temple in Zhangzi",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n",,"Song","山西省长子县","山西","Shanxi","山西省","长子","县","Zhangzi","County","8677997","300387198",,,"城第一中学院","城第一中学院",,,,
107,"Zhaorensi","2016-10-19T13:46:00-05:00","昭仁寺大殿","Zhaorensi","Zhaoren Monastery",,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","唐","Tang","陕西省长武县","陕西","Shanxi","陕西省","长武","县",,"County",,,,,,"长武县",,,,
108,"Zhaoze_wangmiao","2016-10-19T13:46:00-05:00","昭泽王庙","Zhaoze Wangmiao","Wang Temple in Zhaoze",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金 大定 27 (1187)","Jin","山西省襄垣县","山西","Shanxi","山西省","襄垣","县",,"County",,,,,,"襄垣县","大定 27 (1187)",,,
109,"Zhengding_Wenmiao","2016-10-19T13:46:00-05:00","正定文庙大成殿","Zhengding Wenmiao","Wen Temple in Zhengding",,,"五代","Five Dynasties","http://n2t.net/ark:/99152/p0fp7wv5h26","五代","Five Dynasties","http://n2t.net/ark:/99152/p0fp7wv5h26","五代","Five Dynasties","河北省正定县","河北","Hebei","河北省","正定","县","Zhengding","County","8683355","300387198",,,,"正定县",,,,
110,"Zhengjuesi","2016-10-19T13:46:00-05:00","正觉寺","Zhengjuesi","Zhengjue Monastery",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","金至明","Jin to Ming","山西省长治县","山西","Shanxi","山西省","长治","县",,"County",,,,,,"长治县",,,,
111,"Zhenguosi","2016-10-19T13:46:00-05:00","镇国寺","Zhenguosi","Zhenguo Monastery",,,"五代","Five Dynasties","http://n2t.net/ark:/99152/p0fp7wv5h26","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","五代至清","Five Dynasties to Qing","山西省平遥县","山西","Shanxi","山西省","平遥","县","Pingyao","County","8619493","300387198",,,,"平遥县",,1798635,8619493,
112,"Zhenshengsi","2016-10-19T13:46:00-05:00","真圣寺","Zhenshengsi","Zhensheng Monastery",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省太谷县","山西","Shanxi","山西省","太谷","县",,"County",,,"范村","镇","太谷县城东40公里的范村镇蚍蜉村","太谷县: 太谷县城东40公里的范村镇蚍蜉村",,,,
113,"Qinshui_Longyansi","2016-10-19T13:46:00-05:00","沁水龙岩寺","Qinshui Longyansi","Longyan Moastery in Qinshui",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin",,,,,,,,,,,,,,,"Qinshuixian_Zhongcunzhen_Shanggecun",,,
114,"Lingyansi","2016-10-19T13:46:00-05:00","灵岩寺 ","Lingyansi","Lingyan Monastery",1803429,8625249,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","唐至清","Tang to Qing","山东省长清县","山东","Shandong","山东省","长清","县","Changqing Qu","County","8208980","300387198",,,,"长清县","Changqing District",1815582,,
115,"Qinxian_Dayunyuan","2016-10-19T13:46:00-05:00","沁县大云院","Qinxian Dayunyuan","Dayun Cloister in Qinxian",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省沁县","山西","Shanxi","山西省","沁","县",,"County",,,,,,"沁县",,,,
116,"Nantong_Tianningsi","2016-10-19T13:46:00-05:00","南通天宁寺","Nantong Tianningsi","Tianning Monastery in Nantong",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","江苏省南通市","江苏","Jiangsu","江苏省","南通","市",,"City",,,,,,"南通市",,,,
117,"Hutumiao","2016-10-19T13:46:00-05:00","狐突庙","Hutumiao","Hutu Temple",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省清徐县","山西","Shanxi","山西省","清徐","县",,"County",,,,,,"清徐县",,,,
118,"Guanghuasi","2016-10-19T13:46:00-05:00","广华寺","Guanghuasi","Guanghua Monastery",,,,,,,,,,,"山西省五台县","山西","Shanxi","山西省","五","县",,"County",,,,,,,"Taiguxian_beiguangxiang_Baichengcun",,,
119,"Zhoucun_Dongyuemiao","2016-10-19T13:46:00-05:00","周村东岳庙","Zhoucun Dongyuemiao","Dongyue Temple in Zhoucun",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省泽州县","山西","Shanxi","山西省","泽州","县","Zezhou","County","8145851","300387198",,,,"泽州县",,,,
120,"Taiyinsi","2016-10-19T13:46:00-05:00","太阴寺","Taiyinsi","Taiyin Monastery",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金 1170?","Jin to Qing","山西省绛县","山西","Shanxi","山西省","绛","县",,"County",,,,,,"绛县",,,,
121,"Jincheng_Erxianmiao","2016-10-19T13:46:00-05:00","晋城二仙庙","JinchengErxianmiao","Erxian Temple in Jincheng ",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省晋城市","山西","Shanxi","山西省","晋城","市","Jincheng","City","8619006","300387145",,,,"晋城市",,,,
122,"Fencheng_Gujianzhuqun","2016-10-19T13:46:00-05:00","汾城古建筑群","Fencheng Gujianzhuqun","Ancient Architure Site/Group in Fencheng",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省襄汾县","山西","Shanxi","山西省","襄汾","县",,"County",,,,,,"襄汾县",,,,
